Symbol,Name,lastsale,netchange,pctchange,share_volume,Nasdaq100_points
JBHT,J.B. Hunt Transport Services Inc.,105.22,0.94,0.9,193138,.1
JD,JD.com Inc.,31.0799,0.8299,2.74,8360506,.7
KLAC,KLA-Tencor Corporation,123.95,-0.04,-0.03,314426,.0
LRCX,Lam Research Corporation,194.89,3.86,2.02,912718,.6
LBTYA,Liberty Global plc,27.1,0.44,1.65,1118574,.1
LBTYK,Liberty Global plc,26.27,0.39,1.51,1398071,.2
LULU,lululemon athletica inc.,170.4,-0.97,-0.57,876044,-.1
MAR,Marriott International,133.78,1.58,1.2,392960,.5
MXIM,Maxim Integrated Products Inc.,57.35,0.42,0.74,267502,.1
MELI,MercadoLibre Inc.,499.818,-1.662,-0.33,180832,-.1
MCHP,Microchip Technology Incorporated,92.58,1.31,1.44,733497,.3
MU,Micron Technology Inc.,43.3299,0.4399,1.03,11391957,.5
MSFT,Microsoft Corporation,119.91,0.55,0.46,7178249,3.5
MDLZ,Mondelez International Inc.,49.595,-0.055,-0.11,1979062,-.1
MNST,Monster Beverage Corporation,53.2568,0.3868,0.73,1116242,.2
MYL,Mylan N.V.,27.7634,0.3434,1.25,1267354,.2
NTAP,NetApp Inc.,72.06,0.57,0.8,469358,.1
NTES,NetEase Inc.,279.29,9.53,3.53,439349,.7
NFLX,Netflix Inc.,365.75,-2.13,-0.58,1989939,-.9
NVDA,NVIDIA Corporation,190.49,2.23,1.18,5719199,1.3
NXPI,NXP Semiconductors N.V.,97.97,1.4,1.45,1060438,.4
ORLY,O'Reilly Automotive Inc.,399.36,1.28,0.32,245994,.1
PCAR,PACCAR Inc.,69.09,0.07,0.1,334729,.0
PAYX,Paychex Inc.,80.53,0.13,0.16,415338,.0
PYPL,PayPal Holdings Inc.,105.51,1.05,1.01,3449842,1.1
PEP,Pepsico Inc.,121.33,-0.14,-0.12,1374592,-.2
QCOM,QUALCOMM Incorporated,58.02,0.16,0.28,3771084,.2
REGN,Regeneron Pharmaceuticals Inc.,407.745,1.215,0.3,191554,.1
ROST,Ross Stores Inc.,98.46,0.98,1.01,600832,.3
SIRI,Sirius XM Holdings Inc.,5.94,-0.02,-0.34,12128621,-.1
SWKS,Skyworks Solutions Inc.,86.3792,0.8692,1.02,288730,.1
SBUX,Starbucks Corporation,74.905,0.555,0.75,1754252,.6
SYMC,Symantec Corporation,23.1,0.06,0.26,1081523,.0
SNPS,Synopsys Inc.,116.3,1.04,0.9,309436,.1
TMUS,T-Mobile US Inc.,70.28,0.23,0.33,961153,.2
TTWO,Take-Two Interactive Software Inc.,94.39,0.69,0.74,793273,.1
TSLA,Tesla Inc.,273.6317,5.8517,2.19,7362930,.9
TXN,Texas Instruments Incorporated,113.715,0.475,0.42,869677,.4
KHC,The Kraft Heinz Company,33.035,0.345,1.06,3394295,.4
ULTA,Ulta Beauty Inc.,351.88,1.74,0.5,223277,.1
UAL,United Continental Holdings Inc.,85.66,1.02,1.21,550271,.3
VRSN,VeriSign Inc.,187.66,1.53,0.82,160488,.2
VRSK,Verisk Analytics Inc.,135.83,0.12,0.09,100108,.0
VRTX,Vertex Pharmaceuticals Incorporated,188.75,4.6,2.5,319954,1.1
WBA,Walgreens Boots Alliance Inc.,55.1672,1.0172,1.88,4830675,.9
WDC,Western Digital Corporation,52.205,0.805,1.57,1699529,.2
WLTW,Willis Towers Watson Public Limited Company,178.79,0.28,0.16,113465,.0
WDAY,Workday Inc.,185.24,-0.23,-0.12,814704,.0
WYNN,Wynn Resorts Limited,140.26,0.59,0.42,712786,.1
XEL,Xcel Energy Inc.,55.25,-0.03,-0.05,880012,.0
XLNX,Xilinx Inc.,128.525,0.705,0.55,775239,.2
