Stock quote and option quote for AIG on 4/6/19 19:55:08

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
45.05,N,+.45,44.80,P,45.29,P,4 x 4,"4,063,949",44.70,45.30,44.66

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.84%,-4505,.32,Q,3/14/19,56.79,36.16,"869,736,490",1.08

Theo parameters
Theo date,Theo stock price,Theo volatility
4/6/19, 0.00$, 0.00%

12 APR 19  (6)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190418C47,9,603,18.06%,.07932083,.118,.124,.017,-.011,.002,.07,X,.090,.07,41,256,10.26%,89.74%,20.76%,5.61%,127.23%,.06,H,.12,X,18 APR 19,47,1.94,D,2.08,H,AIG190418P47,0,29,15.58%,2.00,-.915,.112,.014,-.008,-.017,4.30,E,2.010,4.30,11,23,92.84%,7.16%,14.47%,3.74%,<empty>,,
,,AIG190418C47.5,0,0,17.87%,.03823833,.066,.082,.011,-.007,.001,0, ,.045,0,46,213,5.55%,94.45%,11.21%,2.81%,155.60%,.03,N,.06,H,18 APR 19,47.5,2.43,N,2.80,M,AIG190418P47.5,0,0,24.88%,2.60,-.856,.103,.020,-.018,-.016,0, ,2.615,0,19,84,87.62%,12.38%,25.12%,10.29%,<empty>,,
,,AIG190418C48,2,269,18.34%,.0207779,.040,.053,.008,-.005,.001,.02,C,.025,.02,0,259,3.17%,96.83%,6.40%,1.56%,185.54%,0,A,.05,H,18 APR 19,48,2.92,N,3.05,N,AIG190418P48,0,26,18.64%,2.98,-.957,.055,.008,-.006,-.018,5.28,E,2.985,5.28,19,19,96.62%,3.38%,6.83%,2.18%,<empty>,,
,,AIG190418C48.5,0,0,23.10%,.03741413,.053,.053,.010,-.008,.001,0, ,.045,0,0,612,4.28%,95.72%,8.64%,2.81%,217.97%,0,A,.09,X,18 APR 19,48.5,3.40,X,3.55,C,AIG190418P48.5,0,0,19.58%,3.47,-.971,.037,.006,-.005,-.018,0, ,3.475,0,118,24,97.84%,2.16%,4.36%,1.56%,<empty>,,
,,AIG190418C49,0,240,25.02%,.03285218,.045,.043,.008,-.008,.001,.01,C,.040,.01,0,354,3.53%,96.47%,7.13%,2.49%,248.84%,0,A,.08,X,18 APR 19,49,3.90,P,4.10,X,AIG190418P49,0,0,25.40%,3.99,-.951,.044,.009,-.009,-.018,5.75,Q,4.000,5.75,9,21,96.27%,3.73%,7.55%,3.12%,<empty>,,
,,AIG190418C50,0,314,30.41%,.0368347,.042,.034,.008,-.009,.001,.05,C,.045,.05,1,221,3.22%,96.78%,6.52%,2.81%,311.51%,.01,X,.08,X,18 APR 19,50,4.90,X,5.05,C,AIG190418P50,0,0,26.24%,4.97,-.977,.023,.005,-.005,-.019,6.55,W,4.975,6.55,70,19,98.36%,1.64%,3.31%,1.56%,<empty>,,
,,AIG190418C51,0,0,33.55%,.02837657,.031,.024,.006,-.008,.001,0, ,.035,0,0,162,2.30%,97.70%,4.67%,2.18%,373.26%,0,I,.07,X,18 APR 19,51,5.90,X,6.05,N,AIG190418P51,0,0,30.55%,5.97,-.979,.018,.004,-.005,-.019,0, ,5.975,0,93,16,98.55%,1.45%,2.92%,1.56%,<empty>,,
,,AIG190418C52.5,0,14,39.79%,.02766051,.027,.018,.005,-.008,.00,.01,I,.035,.01,0,203,1.88%,98.12%,3.82%,2.18%,466.80%,0,I,.07,X,18 APR 19,52.5,7.40,X,7.60,X,AIG190418P52.5,0,0,41.66%,7.49,-.966,.020,.007,-.010,-.019,0, ,7.500,0,95,96,97.67%,2.33%,4.75%,3.12%,<empty>,,

26 APR 19  (20)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190426C30,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,14.450,0,75,86,100.00%,0.00%,<empty>,-23.16%,0.00%,13.00,X,15.90,X,26 APR 19,30,0,J,.50,X,AIG190426P30,0,0,106.83%,.22453388,-.046,.008,.011,-.026,-.001,0, ,.250,0,0,124,7.24%,92.76%,13.73%,9.65%,<empty>,,
,,AIG190426C35,0,0,63.86%,10.08,.927,.005,.013,-.018,.004,0, ,10.100,0,47,30,94.18%,5.82%,11.28%,1.93%,1.93%,10.00,X,10.20,X,26 APR 19,35,0,J,.08,X,AIG190426P35,0,0,50.91%,.03442319,-.019,.008,.005,-.006,-.001,0, ,.040,0,0,28,2.25%,97.75%,4.41%,1.54%,<empty>,,
,,AIG190426C36,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,8.650,0,87,31,100.00%,0.00%,<empty>,-15.44%,0.00%,8.10,X,9.20,C,26 APR 19,36,0,J,.08,X,AIG190426P36,0,0,45.96%,.03451116,-.021,.010,.006,-.006,-.001,0, ,.040,0,0,240,2.40%,97.60%,4.71%,1.54%,<empty>,,
,,AIG190426C37,0,0,84.25%,8.73,.846,.022,.025,-.048,.012,0, ,8.775,0,91,34,80.83%,19.17%,36.35%,27.99%,27.99%,7.35,X,10.20,X,26 APR 19,37,0,J,.09,X,AIG190426P37,0,0,41.92%,.03917878,-.025,.013,.006,-.006,-.001,0, ,.045,0,0,28,2.84%,97.16%,5.57%,1.74%,<empty>,,
,,AIG190426C38,0,0,86.86%,8.02,.811,.026,.029,-.057,.013,0, ,8.075,0,73,40,76.16%,23.84%,45.01%,39.57%,39.57%,7.00,X,9.15,X,26 APR 19,38,0,A,.09,X,AIG190426P38,0,10,37.06%,.03938934,-.028,.016,.007,-.006,-.001,.12,C,.045,.12,0,268,3.10%,96.90%,6.08%,1.74%,<empty>,,
,,AIG190426C39,0,2,44.96%,6.21,.904,.027,.018,-.018,.012,4.10,Z,6.225,4.10,139,34,89.99%,10.01%,19.51%,6.76%,6.76%,6.00,X,6.45,X,26 APR 19,39,0,I,.10,X,AIG190426P39,0,0,32.90%,.04432983,-.034,.021,.008,-.006,-.001,0, ,.050,0,0,209,3.72%,96.28%,7.31%,1.93%,<empty>,,
,,AIG190426C40,0,0,53.33%,5.54,.830,.040,.028,-.033,.015,0, ,5.575,0,81,33,80.60%,19.40%,37.46%,20.27%,20.27%,5.00,X,6.15,X,26 APR 19,40,0,I,.10,X,AIG190426P40,3,48,28.03%,.04448532,-.039,.027,.009,-.006,-.001,.04,M,.050,.04,0,210,4.18%,95.82%,8.23%,1.93%,<empty>,,
,,AIG190426C41,0,6,33.47%,4.23,.877,.050,.022,-.016,.014,3.63,X,4.250,3.63,39,39,87.06%,12.94%,25.32%,7.72%,7.72%,3.90,M,4.60,M,26 APR 19,41,.06,X,.09,X,AIG190426P41,0,143,25.24%,.06768442,-.061,.043,.013,-.008,-.002,.21,H,.075,.21,51,45,6.42%,93.58%,12.64%,2.90%,<empty>,,
,,AIG190426C42,0,0,25.62%,3.20,.870,.070,.023,-.013,.015,0, ,3.215,0,58,48,86.54%,13.46%,26.45%,6.37%,6.37%,2.93,X,3.50,X,26 APR 19,42,.11,D,.14,X,AIG190426P42,0,39,22.87%,.11493184,-.102,.070,.020,-.010,-.003,1.04,Q,.125,1.04,37,42,10.66%,89.34%,20.98%,4.83%,<empty>,,
,,AIG190426C43,0,20,22.14%,2.28,.809,.110,.030,-.014,.017,1.85,A,2.295,1.85,48,25,80.08%,19.92%,39.13%,9.46%,9.46%,2.24,H,2.35,X,26 APR 19,43,.19,X,.24,X,AIG190426P43,0,54,20.52%,.20177421,-.173,.113,.028,-.013,-.005,.29,E,.215,.29,43,149,18.01%,81.99%,35.42%,8.30%,<empty>,,
,,AIG190426C44,1,169,19.91%,1.46,.691,.160,.039,-.017,.016,1.50,M,1.480,1.50,56,35,67.83%,32.17%,63.09%,16.60%,16.60%,1.43,X,1.53,X,26 APR 19,44,.36,X,.41,X,AIG190426P44,0,42,18.32%,.36899443,-.294,.170,.038,-.016,-.008,.90,X,.385,.90,49,72,30.60%,69.40%,60.08%,14.86%,<empty>,,
,,AIG190426C45,71,686,18.12%,.79703494,.515,.200,.044,-.018,.013,.82,P,.815,.82,65,49,49.84%,50.16%,98.03%,29.53%,29.53%,.77,X,.86,X,26 APR 19,45,.68,X,.76,X,AIG190426P45,15,25,16.74%,.70273076,-.484,.216,.044,-.017,-.014,.63,Z,.720,.63,45,95,50.03%,49.97%,97.87%,27.80%,<empty>,,
,,AIG190426C46,0,50,16.87%,.35032374,.311,.189,.039,-.015,.008,.31,M,.365,.31,64,13,29.31%,70.69%,59.71%,14.09%,50.77%,.34,X,.39,N,26 APR 19,46,1.22,X,1.34,X,AIG190426P46,0,5,15.59%,1.27,-.703,.200,.038,-.014,-.020,1.90,A,1.280,1.90,56,183,72.11%,27.89%,56.77%,12.74%,<empty>,,
,,AIG190426C47,20,25,16.53%,.13051463,.151,.128,.026,-.010,.004,.17,M,.140,.17,53,39,13.62%,86.38%,27.64%,5.40%,80.69%,.12,X,.16,H,26 APR 19,47,1.99,X,2.13,H,AIG190426P47,0,0,14.74%,2.05,-.876,.124,.022,-.008,-.025,0, ,2.060,0,45,65,89.00%,11.00%,22.31%,4.25%,<empty>,,
,,AIG190426C48,0,30,16.02%,.03590052,.054,.062,.012,-.004,.001,.06,I,.040,.06,0,91,4.65%,95.35%,9.42%,1.54%,115.44%,0,J,.08,C,26 APR 19,48,.96,M,3.10,X,AIG190426P48,0,0,--,<empty>,-1.000,.00,.120,.00,.00,0, ,2.030,0,93,108,100.00%,0.00%,0.00%,-35.52%,<empty>,,
,,AIG190426C49,0,0,20.45%,.03996236,.049,.045,.011,-.005,.001,0, ,.045,0,0,535,4.05%,95.95%,8.20%,1.74%,154.24%,0,J,.09,X,26 APR 19,49,3.85,M,4.05,D,AIG190426P49,0,0,0.00%,3.95,-1.000,.00,.107,.00,.00,0, ,3.950,0,47,11,100.00%,0.00%,0.00%,0.00%,<empty>,,
,,AIG190426C50,0,0,23.78%,.03532639,.039,.032,.009,-.005,.001,0, ,.040,0,0,71,3.12%,96.88%,6.33%,1.54%,192.65%,0,J,.08,X,26 APR 19,50,4.90,X,5.25,X,AIG190426P50,0,0,29.61%,5.06,-.918,.045,.017,-.012,-.028,0, ,5.075,0,35,85,93.43%,6.57%,13.38%,4.83%,<empty>,,
,,AIG190426C51,0,0,27.35%,.0349711,.034,.025,.008,-.005,.001,0, ,.040,0,0,24,2.68%,97.32%,5.45%,1.54%,231.26%,0,J,.08,X,26 APR 19,51,5.90,X,7.60,X,AIG190426P51,0,0,60.34%,6.70,-.777,.045,.033,-.045,-.024,0, ,6.750,0,40,76,82.44%,17.56%,36.65%,30.89%,<empty>,,

3 MAY 19  (27)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190503C35,0,0,81.36%,10.57,.875,.016,.024,-.033,.014,0, ,10.600,0,61,58,84.28%,15.72%,29.74%,15.93%,15.93%,9.10,X,12.10,H,3 MAY 19,35,0,J,.50,M,AIG190503P35,0,0,63.23%,.23253355,-.066,.016,.016,-.018,-.003,0, ,.250,0,0,72,8.82%,91.18%,16.96%,7.24%,<empty>,,
,,AIG190503C36,0,0,57.21%,9.21,.912,.013,.018,-.017,.011,0, ,9.225,0,31,50,90.89%,9.11%,17.58%,5.07%,5.07%,8.85,X,9.60,X,3 MAY 19,36,0,J,.50,X,AIG190503P36,0,0,57.60%,.23285595,-.072,.019,.017,-.017,-.003,0, ,.250,0,0,41,9.28%,90.72%,17.90%,7.24%,<empty>,,
,,AIG190503C37,0,0,69.17%,8.62,.857,.022,.028,-.032,.016,0, ,8.650,0,41,31,82.37%,17.63%,33.54%,17.37%,17.37%,7.20,X,10.10,X,3 MAY 19,37,0,I,.50,X,AIG190503P37,0,0,52.07%,.23351533,-.079,.022,.019,-.017,-.003,0, ,.250,0,0,184,9.85%,90.15%,19.04%,7.24%,<empty>,,
,,AIG190503C38,0,0,37.84%,7.09,.931,.012,.015,-.009,.008,0, ,7.100,0,61,31,94.15%,5.85%,11.42%,1.45%,1.45%,5.10,C,9.10,X,3 MAY 19,38,0,A,.50,X,AIG190503P38,0,3,46.58%,.23393386,-.087,.027,.020,-.016,-.003,.35,C,.250,.35,0,168,10.54%,89.46%,20.42%,7.24%,<empty>,,
,,AIG190503C39,0,0,57.99%,6.69,.827,.033,.032,-.031,.018,0, ,6.725,0,64,31,79.25%,20.75%,39.70%,19.54%,19.54%,5.30,X,8.15,M,3 MAY 19,39,0,I,.49,X,AIG190503P39,0,0,40.90%,.22982593,-.096,.033,.022,-.015,-.004,0, ,.245,0,0,173,11.26%,88.74%,21.89%,7.09%,<empty>,,
,,AIG190503C40,0,0,30.12%,5.14,.916,.030,.019,-.009,.014,0, ,5.150,0,31,31,91.59%,8.41%,16.46%,2.90%,2.90%,4.35,M,5.95,M,3 MAY 19,40,0,J,.13,H,AIG190503P40,0,11,25.66%,.05955316,-.047,.030,.013,-.006,-.002,.08,C,.065,.08,0,37,5.14%,94.86%,10.10%,1.88%,<empty>,,
,,AIG190503C41,0,0,27.26%,4.19,.891,.048,.023,-.010,.018,0, ,4.200,0,31,31,88.58%,11.42%,22.37%,4.34%,4.34%,3.45,M,4.95,M,3 MAY 19,41,.08,X,.17,H,AIG190503P41,0,130,24.82%,.11677248,-.084,.049,.020,-.009,-.003,.63,C,.125,.63,112,37,9.17%,90.83%,18.01%,3.62%,<empty>,,
,,AIG190503C42,10,1,25.46%,3.29,.841,.073,.030,-.013,.021,3.30,W,3.300,3.30,41,53,82.97%,17.03%,33.33%,7.24%,7.24%,3.15,X,3.45,X,3 MAY 19,42,.15,X,.24,N,AIG190503P42,0,0,22.71%,.18444753,-.131,.074,.027,-.011,-.005,0, ,.195,0,69,13,14.09%,85.91%,27.65%,5.65%,<empty>,,
,,AIG190503C43,0,68,23.75%,2.44,.764,.102,.039,-.015,.022,2.16,N,2.455,2.16,67,89,74.81%,25.19%,49.22%,11.73%,11.73%,2.20,X,2.71,X,3 MAY 19,43,.27,X,.77,X,AIG190503P43,50,47,26.08%,.50183132,-.253,.096,.041,-.018,-.009,.27,W,.520,.27,104,236,27.34%,72.66%,53.31%,15.06%,<empty>,,
,,AIG190503C44,0,360,22.24%,1.68,.655,.131,.047,-.017,.020,1.11,X,1.700,1.11,49,78,63.49%,36.51%,71.19%,18.82%,18.82%,1.55,X,1.85,X,3 MAY 19,44,.46,X,.65,X,AIG190503P44,0,6,19.71%,.5391678,-.328,.144,.046,-.016,-.012,.82,I,.555,.82,86,83,34.59%,65.41%,67.59%,16.07%,<empty>,,
,,AIG190503C45,18,170,20.00%,1.01,.515,.158,.050,-.017,.017,1.05,C,1.025,1.05,10,51,49.37%,50.63%,98.47%,28.23%,28.23%,.95,N,1.10,X,3 MAY 19,45,.78,X,1.01,X,AIG190503P45,0,1,18.00%,.87882686,-.484,.175,.050,-.016,-.018,1.14,C,.895,1.14,77,41,50.47%,49.53%,98.30%,25.91%,<empty>,,
,,AIG190503C46,23,51,18.96%,.54479109,.354,.155,.047,-.015,.012,.60,Z,.560,.60,20,13,33.27%,66.73%,68.14%,16.21%,43.72%,.50,Q,.62,N,3 MAY 19,46,1.30,X,2.34,X,AIG190503P46,0,0,25.01%,1.80,-.604,.121,.049,-.021,-.023,0, ,1.820,0,104,411,63.40%,36.60%,75.36%,25.19%,<empty>,,
,,AIG190503C47,0,11,20.04%,.321775,.232,.120,.039,-.013,.008,.24,C,.335,.24,61,423,21.20%,78.80%,43.29%,9.70%,66.16%,.20,X,.47,X,3 MAY 19,47,1.50,X,2.38,X,AIG190503P47,0,0,--,<empty>,-1.000,.00,.176,.00,.00,0, ,1.940,0,73,309,100.00%,0.00%,0.00%,-0.29%,<empty>,,
,,AIG190503C48,0,0,18.56%,.12236448,.116,.083,.025,-.008,.004,0, ,.130,0,120,74,10.22%,89.78%,20.80%,3.76%,89.18%,.07,X,.19,X,3 MAY 19,48,2.17,H,3.30,M,AIG190503P48,0,0,--,<empty>,-1.000,.00,.158,.00,.00,0, ,2.735,0,32,31,100.00%,0.00%,0.00%,-6.23%,<empty>,,
,,AIG190503C49,0,0,25.95%,.19851087,.131,.065,.027,-.012,.005,0, ,.210,0,0,237,11.28%,88.72%,23.04%,6.08%,120.45%,0,I,.42,X,3 MAY 19,49,3.55,M,4.80,C,AIG190503P49,0,0,25.99%,4.16,-.866,.065,.027,-.013,-.034,0, ,4.175,0,44,73,88.69%,11.31%,23.10%,6.51%,<empty>,,
,,AIG190503C50,0,0,31.68%,.23597634,.129,.052,.027,-.015,.004,0, ,.250,0,0,430,10.79%,89.21%,22.12%,7.24%,150.57%,0,A,.50,X,3 MAY 19,50,4.65,M,6.60,H,AIG190503P50,0,0,44.31%,5.60,-.779,.052,.037,-.029,-.032,0, ,5.625,0,44,67,81.99%,18.01%,37.38%,19.54%,<empty>,,
,,AIG190503C51,0,0,35.72%,.23480534,.117,.043,.025,-.015,.004,0, ,.250,0,0,44,9.54%,90.46%,19.58%,7.24%,179.52%,0,A,.50,H,3 MAY 19,51,5.65,M,6.75,M,AIG190503P51,0,0,35.30%,6.18,-.883,.043,.025,-.015,-.036,0, ,6.200,0,36,49,90.70%,9.30%,19.08%,7.24%,<empty>,,

10 MAY 19  (34)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190510C35,0,0,77.70%,10.69,.864,.016,.029,-.030,.018,0, ,10.725,0,73,55,82.30%,17.70%,33.30%,15.64%,15.64%,9.90,C,11.55,X,10 MAY 19,35,0,A,.50,X,AIG190510P35,0,0,56.74%,.2359409,-.066,.016,.018,-.014,-.003,0, ,.250,0,0,526,8.91%,91.09%,17.13%,5.79%,<empty>,,
,,AIG190510C36,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,8.575,0,45,31,100.00%,0.00%,<empty>,-11.00%,0.00%,7.65,X,9.50,X,10 MAY 19,36,0,A,.49,X,AIG190510P36,0,0,51.43%,.23137617,-.071,.019,.019,-.014,-.003,0, ,.245,0,0,527,9.25%,90.75%,17.83%,5.68%,<empty>,,
,,AIG190510C37,0,0,50.46%,8.31,.895,.019,.024,-.016,.017,0, ,8.325,0,31,36,88.07%,11.93%,22.97%,6.37%,6.37%,6.40,X,10.25,X,10 MAY 19,37,.05,A,.45,X,AIG190510P37,0,8,46.72%,.23673259,-.079,.022,.021,-.014,-.004,.16,Q,.250,.16,8,265,9.94%,90.06%,19.21%,5.79%,<empty>,,
,,AIG190510C38,0,0,39.53%,7.19,.912,.020,.021,-.011,.016,0, ,7.200,0,31,31,90.74%,9.26%,17.98%,3.47%,3.47%,6.35,M,8.05,M,10 MAY 19,38,.02,X,.16,H,AIG190510P38,0,15,32.94%,.08394475,-.045,.020,.014,-.006,-.002,.21,M,.090,.21,55,42,5.34%,94.66%,10.44%,2.08%,<empty>,,
,,AIG190510C39,0,5,40.44%,6.34,.877,.031,.028,-.015,.021,5.75,C,6.350,5.75,31,31,86.10%,13.90%,26.90%,6.95%,6.95%,5.70,M,7.00,M,10 MAY 19,39,.05,X,.18,H,AIG190510P39,0,0,30.37%,.10801779,-.060,.028,.017,-.007,-.003,0, ,.115,0,181,43,6.93%,93.07%,13.55%,2.66%,<empty>,,
,,AIG190510C40,0,0,34.23%,5.31,.871,.040,.029,-.013,.022,0, ,5.325,0,37,4,85.62%,14.38%,27.93%,6.37%,6.37%,5.25,H,5.40,W,10 MAY 19,40,.18,X,.24,X,AIG190510P40,0,4,30.46%,.19978325,-.099,.040,.025,-.011,-.005,.35,Z,.210,.35,71,85,11.36%,88.64%,22.15%,4.86%,<empty>,,
,,AIG190510C41,0,0,32.72%,4.43,.829,.053,.035,-.015,.025,0, ,4.450,0,41,93,80.89%,19.11%,37.10%,9.27%,9.27%,4.35,X,4.55,C,10 MAY 19,41,.16,X,.33,X,AIG190510P41,0,1,26.94%,.23424537,-.125,.054,.029,-.011,-.006,.67,I,.245,.67,196,57,13.98%,86.02%,27.30%,5.68%,<empty>,,
,,AIG190510C42,0,0,31.99%,3.63,.769,.066,.043,-.018,.026,0, ,3.650,0,60,76,74.30%,25.70%,49.78%,13.90%,13.90%,3.45,H,3.85,X,10 MAY 19,42,.28,X,.58,X,AIG190510P42,0,1,27.09%,.41525728,-.194,.072,.039,-.015,-.009,.87,I,.430,.87,236,242,21.56%,78.44%,41.98%,9.96%,<empty>,,
,,AIG190510C43,0,11,28.16%,2.75,.713,.085,.048,-.018,.026,2.39,M,2.765,2.39,72,98,68.58%,31.42%,60.90%,16.56%,16.56%,2.59,H,2.94,X,10 MAY 19,43,.45,X,.82,X,AIG190510P43,0,0,25.88%,.6181069,-.271,.090,.047,-.017,-.013,0, ,.635,0,218,206,29.66%,70.34%,57.63%,14.71%,<empty>,,
,,AIG190510C44,0,113,28.33%,2.12,.618,.095,.054,-.020,.023,1.80,C,2.140,1.80,112,209,58.65%,41.35%,79.86%,25.25%,25.25%,1.95,C,2.33,C,10 MAY 19,44,.71,X,1.01,I,AIG190510P44,0,100,23.52%,.84239039,-.363,.113,.053,-.017,-.017,1.38,Q,.860,1.38,514,41,38.98%,61.02%,75.66%,19.92%,<empty>,,
,,AIG190510C45,6,0,25.29%,1.42,.518,.112,.056,-.019,.021,1.49,C,1.435,1.49,193,480,48.72%,51.28%,98.93%,32.08%,32.08%,1.30,C,1.57,X,10 MAY 19,45,1.07,X,1.34,X,AIG190510P45,0,0,21.63%,1.19,-.482,.130,.056,-.017,-.023,0, ,1.205,0,434,217,51.01%,48.99%,98.74%,27.91%,<empty>,,
,,AIG190510C46,407,6,23.30%,.8776237,.398,.117,.054,-.017,.016,1.00,Z,.895,1.00,630,501,36.95%,63.05%,76.25%,20.73%,42.74%,.73,X,1.06,X,10 MAY 19,46,1.70,X,1.88,X,AIG190510P46,0,0,21.85%,1.77,-.608,.124,.054,-.017,-.029,0, ,1.790,0,195,64,63.71%,36.29%,74.78%,19.46%,<empty>,,
,,AIG190510C47,5,0,24.67%,.62845425,.302,.100,.049,-.017,.013,.60,C,.645,.60,78,600,27.41%,72.59%,56.44%,14.94%,60.11%,.48,X,.81,X,10 MAY 19,47,2.30,C,2.72,X,AIG190510P47,0,0,22.48%,2.49,-.715,.106,.048,-.015,-.034,0, ,2.510,0,192,440,74.28%,25.72%,52.83%,12.97%,<empty>,,
,,AIG190510C48,0,1,23.01%,.33268212,.197,.085,.039,-.012,.008,.24,M,.345,.24,280,633,17.51%,82.49%,35.88%,7.99%,76.33%,.21,X,.48,X,10 MAY 19,48,3.15,H,3.30,H,AIG190510P48,0,0,20.62%,3.21,-.828,.086,.036,-.011,-.040,0, ,3.225,0,35,108,84.96%,15.04%,30.75%,6.37%,<empty>,,
,,AIG190510C49,5,0,22.29%,.17186111,.120,.063,.028,-.009,.005,.20,C,.180,.20,276,442,10.37%,89.63%,21.18%,4.17%,95.67%,.09,X,.27,X,10 MAY 19,49,4.00,X,4.20,C,AIG190510P49,0,0,20.49%,4.09,-.898,.060,.025,-.007,-.044,0, ,4.100,0,31,344,91.40%,8.60%,17.53%,3.47%,<empty>,,
,,AIG190510C50,0,0,24.10%,.12796453,.089,.047,.023,-.008,.004,0, ,.135,0,45,312,7.46%,92.54%,15.23%,3.13%,117.79%,.10,X,.17,X,10 MAY 19,50,4.80,C,5.20,H,AIG190510P50,0,0,18.18%,5.00,-.962,.030,.011,-.003,-.048,0, ,5.000,0,101,21,97.07%,2.93%,5.96%,1.16%,<empty>,,
,,AIG190510C51,0,0,29.18%,.165598,.094,.041,.024,-.010,.004,0, ,.175,0,0,186,7.71%,92.29%,15.80%,4.05%,141.88%,0,B,.35,X,10 MAY 19,51,5.50,M,7.95,M,AIG190510P51,0,0,46.52%,6.70,-.780,.045,.042,-.027,-.040,0, ,6.725,0,46,49,82.57%,17.43%,36.39%,17.95%,<empty>,,

17 MAY 19  (41)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190517C20,0,0,--,<empty>,1.000,.00,.00,.00,.00,23.40,Q,25.025,23.40,25,20,100.00%,0.00%,<empty>,-0.48%,0.00%,23.05,X,27.00,M,17 MAY 19,20,0,H,.61,M,AIG190517P20,0,32,144.12%,.28803745,-.029,.003,.010,-.017,-.002,.26,C,.305,.26,0,20,7.84%,92.16%,14.23%,5.89%,<empty>,,
,,AIG190517C21,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,24.025,0,26,20,100.00%,0.00%,<empty>,-0.48%,0.00%,21.95,X,26.10,M,17 MAY 19,21,0,I,.07,C,AIG190517P21,0,0,96.14%,.03228815,-.007,.001,.003,-.003,.00,0, ,.035,0,0,30,1.48%,98.52%,2.80%,0.68%,<empty>,,
,,AIG190517C22,0,0,0.00%,23.05,1.000,.00,.00,.00,.00,0, ,23.050,0,23,20,100.00%,0.00%,<empty>,0.00%,0.00%,20.95,X,25.15,M,17 MAY 19,22,0,J,.07,N,AIG190517P22,0,10,90.60%,.03195998,-.007,.001,.003,-.003,.00,.12,X,.035,.12,0,55,1.47%,98.53%,2.80%,0.68%,<empty>,,
,,AIG190517C23,0,0,0.00%,22.05,1.000,.00,.00,.00,.00,0, ,22.050,0,21,20,100.00%,0.00%,<empty>,0.00%,0.00%,19.95,M,24.15,X,17 MAY 19,23,0,I,.07,C,AIG190517P23,0,0,85.50%,.03220056,-.007,.002,.003,-.003,.00,0, ,.035,0,0,30,1.50%,98.50%,2.85%,0.68%,<empty>,,
