Stock quote and option quote for AIG on 4/6/19 19:55:08

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
45.05,N,+.45,44.80,P,45.29,P,4 x 4,"4,063,949",44.70,45.30,44.66

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.84%,-4505,.32,Q,3/14/19,56.79,36.16,"869,736,490",1.08

Theo parameters
Theo date,Theo stock price,Theo volatility
4/6/19, 0.00$, 0.00%

12 APR 19  (6)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190412C43.5,0,248,22.14%,1.63,.859,.146,.015,-.020,.006,.66,M,1.650,.66,46,36,86.93%,13.07%,25.89%,11.58%,11.58%,1.61,X,1.69,X,12 APR 19,43.5,.09,N,.13,C,AIG190412P43.5,1,299,22.37%,.0891664,-.142,.151,.015,-.021,-.001,.09,M,.110,.09,20,214,13.32%,86.68%,26.39%,12.74%,<empty>,,
,,AIG190412C44,21,422,20.03%,1.18,.789,.214,.019,-.023,.006,1.20,Q,1.205,1.20,53,52,79.74%,20.26%,40.11%,17.95%,17.95%,1.16,X,1.25,H,12 APR 19,44,.14,N,.17,X,AIG190412P44,4,465,19.72%,.13119818,-.206,.217,.019,-.023,-.002,.13,Q,.155,.13,20,85,19.87%,80.13%,39.35%,17.95%,<empty>,,
,,AIG190412C44.5,0,600,18.57%,.78206148,.676,.290,.024,-.027,.006,.52,A,.810,.52,46,33,67.74%,32.26%,63.80%,30.11%,30.11%,.78,X,.84,H,12 APR 19,44.5,.23,N,.27,X,AIG190412P44.5,143,588,17.91%,.22258765,-.318,.299,.024,-.026,-.003,.19,C,.250,.19,24,46,31.61%,68.39%,62.55%,28.96%,<empty>,,
,,AIG190412C45,47,259,17.22%,.45088999,.520,.347,.027,-.027,.005,.48,E,.480,.48,47,46,51.19%,48.81%,96.36%,49.80%,49.80%,.46,X,.50,H,12 APR 19,45,.37,X,.45,H,AIG190412P45,35,10,16.25%,.38183942,-.479,.367,.027,-.026,-.005,.35,N,.410,.35,78,55,48.68%,51.32%,96.14%,47.49%,<empty>,,
,,AIG190412C45.5,126,75,16.30%,.21969246,.342,.338,.025,-.024,.003,.24,E,.245,.24,18,24,32.39%,67.61%,65.48%,28.38%,80.50%,.23,N,.26,N,12 APR 19,45.5,.65,X,.72,H,AIG190412P45.5,0,12,15.66%,.66020133,-.663,.349,.024,-.024,-.007,1.21,Q,.685,1.21,63,67,68.24%,31.76%,64.19%,27.22%,<empty>,,
,,AIG190412C46,106,46,16.50%,.10087339,.198,.253,.019,-.019,.002,.13,Q,.120,.13,56,55,17.62%,82.38%,35.55%,13.90%,123.93%,.10,X,.14,H,12 APR 19,46,1.02,I,1.09,H,AIG190412P46,0,2,15.37%,1.04,-.818,.257,.018,-.017,-.008,1.91,X,1.055,1.91,31,51,84.05%,15.95%,32.17%,12.16%,<empty>,,
,,AIG190412C46.5,30,0,18.07%,.05539754,.120,.166,.013,-.015,.001,.06,H,.070,.06,62,387,9.97%,90.03%,20.10%,8.11%,176.05%,.04,W,.10,H,12 APR 19,46.5,1.42,N,1.62,H,AIG190412P46.5,0,0,17.68%,1.51,-.885,.164,.013,-.015,-.009,0, ,1.520,0,18,63,90.51%,9.49%,19.13%,8.11%,<empty>,,
,,AIG190412C47,0,0,19.92%,.03387865,.077,.108,.010,-.012,.001,0, ,.045,0,0,549,6.01%,93.99%,12.11%,5.21%,231.06%,0,J,.09,X,12 APR 19,47,1.85,X,2.13,M,AIG190412P47,0,0,18.81%,1.98,-.934,.101,.009,-.011,-.010,0, ,1.990,0,51,58,95.00%,5.00%,10.07%,4.63%,<empty>,,
,,AIG190412C47.5,0,0,23.02%,.0292795,.062,.079,.008,-.012,.001,0, ,.040,0,0,477,4.63%,95.37%,9.34%,4.63%,288.39%,0,A,.08,X,12 APR 19,47.5,1.05,X,2.79,M,AIG190412P47.5,0,0,--,<empty>,-1.000,.00,.046,.00,.00,0, ,1.920,0,102,80,100.00%,0.00%,0.00%,-61.39%,<empty>,,
,,AIG190412C48,0,0,52.49%,.35520656,.218,.084,.020,-.063,.002,0, ,.420,0,0,46,18.12%,81.88%,37.01%,48.64%,390.32%,0,J,.84,X,12 APR 19,48,2.74,X,3.10,X,AIG190412P48,0,0,--,<empty>,-1.000,.00,.044,.00,.00,0, ,2.920,0,70,21,100.00%,0.00%,0.00%,-3.47%,<empty>,,
